,South Korea_1918h1n1,South Korea_coronavirus,South Korea_measles,South Korea_smallpox,United States_1918h1n1,United States_coronavirus,United States_measles,United States_smallpox
25,5.213659907117946,0.07423419445832882,1249644.78106071,1.56904657017246,27.24238389735185,0.11480026077722966,8682983.595136557,2.753340455347789
50,5047.366813299327,1.3673614195762374,3530192.4278666787,169.57540765631526,211009.41023207552,4.438650823727474,22894842.55402145,716.4717829406485
75,715816.8903391539,23.256477368863575,3799665.8677236494,17948.262665212118,6290512.651100015,164.7701763798005,24540024.88576821,183762.27812037573
100,964498.6570392236,162.6157355867081,3820900.22117129,436332.99096936104,6509855.456123431,6094.868388503008,24669124.42810261,20169318.936320424
125,965548.2465497131,234.7353142769132,3822405.615507425,973206.981926445,6510854.874132457,56284.329837299716,24678264.03625813,73159100.99102573
150,965550.9840602877,258.36763157085136,3822508.3559548524,1396464.9748135798,6510857.651525968,96004.59120052359,24678887.460094634,93051827.4630917
175,965550.9917911749,272.3398952813414,3822515.2627364164,2128977.5134599293,6510857.658372941,118911.82270286253,24678929.360836506,97825925.34147592
200,965550.9918220278,289.9094378632588,3822515.7241697037,4405065.77931712,6510857.65839003,136662.83240705833,24678932.15991424,98819597.32453708
225,965550.991822152,312.27796156213765,3822515.7549173995,8425816.344725633,6510857.658390076,155837.9392033703,24678932.34642412,99014214.9325975
250,965550.9918221524,340.75553081879104,3822515.7569640363,11894629.61759547,6510857.658390076,176587.39848040673,24678932.358838446,99051139.89816272
275,965550.9918221524,377.0089754965301,3822515.757100201,13660545.785616765,6510857.658390076,198944.3091514121,24678932.359664384,99058017.96580212
300,965550.9918221524,423.1589242105902,3822515.7571092574,14341917.274629947,6510857.658390076,222922.08383146915,24678932.35971932,99059285.07423176
325,965550.9918221524,481.9027139303888,3822515.75710986,14574019.443740925,6510857.658390076,248511.24602542905,24678932.359722987,99059516.92774732
350,965550.9918221524,556.6702507322424,3822515.7571098986,14649107.984118765,6510857.658390076,275676.4476018189,24678932.35972322,99059559.17297956
375,965550.9918221524,651.8213290419823,3822515.7571099005,14672921.275380135,6510857.658390076,304354.0615102066,24678932.35972324,99059566.84991738
400,965550.9918221524,772.8951344971979,3822515.7571099005,14680418.857885186,6510857.658390076,334450.57233244163,24678932.35972324,99059568.24265492
425,965550.9918221524,926.9250053595165,3822515.7571099005,14682773.540085034,6510857.658390076,365842.02147986257,24678932.35972324,99059568.49505427
450,965550.9918221524,1122.8346357021026,3822515.7571099005,14683512.425845455,6510857.658390076,398374.6580248482,24678932.35972324,99059568.54076454
475,965550.9918221524,1371.935054510143,3822515.7571099005,14683744.219846582,6510857.658390076,431866.9683192271,24678932.35972324,99059568.54903927
500,965550.9918221524,1688.5454028950992,3822515.7571099005,14683816.928863324,6510857.658390076,466112.9906944198,24678932.35972324,99059568.5505368
